kalshi_game_id,espn_game_id
KXNCAAMBGAME-26FEB28NCSTND,401820775
KXNCAAMBGAME-26FEB28LMDHC,401820208
KXNCAAMBGAME-26FEB27CCARJMU,401808695
KXNCAAMBGAME-26FEB27BRWNCLMB,401818546
KXNCAAMBGAME-26FEB27MANSPC,401813318
KXNCAAMBGAME-26FEB27QUINNIAG,401813395
KXNCAAMBGAME-26FEB27MOHWMU,401814590
KXNCAAMBGAME-26FEB26UCICSN,401809119
KXNCAAMBGAME-26FEB26CSBUCSD,401809101
KXNCAAMBGAME-26FEB26NDSUUST,401818432
KXNCAAMBGAME-26FEB26UCRVUCSB,401826049
KXNCAAMBGAME-26FEB26ACUTU,401805205
KXNCAAMBGAME-26FEB26EIULINW,401806503
KXNCAAMBGAME-26FEB26MOREUALR,401806504
KXNCAAMBGAME-26FEB26SDSTUMKC,401818433
KXNCAAMBGAME-26FEB26TARLUVU,401805206
KXNCAAMBGAME-26FEB26MHUCCSU,401812658
KXNCAAMBGAME-26FEB26NHCWAG,401812417
KXNCAAMBGAME-26FEB26UNCGCHAT,401809386
KXNCAAMBGAME-26FEB26SCUSRAD,401823960
KXNCAAMBGAME-26FEB26HPPRE,401823958
KXNCAAMBGAME-26FEB26UTEPMTU,401804946
KXNCAAMBGAME-26FEB26STETJAC,401807762
KXNCAAMBGAME-26FEB26CHSLIU,401812378
KXNCAAMBGAME-26FEB26FDULMC,401812331
KXNCAAMBGAME-26FEB26UNCAWEBB,401823959
KXNCAAMBGAME-26FEB26COOKGRAM,401827107
KXNCAAMBGAME-26FEB26DELJVST,401804950
KXNCAAMBGAME-26FEB26MASSLUVM,401812168
KXNCAAMBGAME-26FEB26SFPASTNH,401812399
KXNCAAMBGAME-26FEB26MOSULT,401804948
KXNCAAMBGAME-26FEB26CAMPDREX,401812086
KXNCAAMBGAME-26FEB26ELONTOWS,401812085
KXNCAAMBGAME-26FEB26NEWM,401812082
KXNCAAMBGAME-26FEB26STONMONM,401812399
KXNCAAMBGAME-26FEB26MEALBY,401812167
KXNCAAMBGAME-26FEB25URISBON,401828447
KXNCAAMBGAME-26FEB25UNLVGC,401823804
KXNCAAMBGAME-26FEB25CARKPEAY,401807759
KXNCAAMBGAME-26FEB25TXAMARK,401808259
KXNCAAMBGAME-26FEB25DRKEVALP,401830314
KXNCAAMBGAME-26FEB24XAVPROV,401822958
KXNCAAMBGAME-26FEB25LIPUWGA,401807761
KXNCAAMBGAME-26FEB25NKUCLEV,401817681
KXNCAAMBGAME-26FEB25DETRMU,401817683
KXNCAAMBGAME-26FEB25QUCEKY,401807757
KXNCAAMBGAME-26FEB14MORGSCST,401828693
KXNCAAMBGAME-26FEB25UNTCHAR,401828244
KXNCAAMBGAME-26FEB25NEOMSDAK,401818434
KXNCAAMBGAME-26FEB25NAVYLMD,401820176
KXNCAAMBGAME-26FEB24WAKEBC,401820764
KXNCAAMBGAME-26FEB24SJSUAFA,401820573
KXNCAAMBGAME-26FEB24AUBOKLA,401808262
KXNCAAMBGAME-26FEB24TENNMIZZ,401808257
KXNCAAMBGAME-26FEB24WYOBSU,401823832
KXNCAAMBGAME-26FEB24UKSCAR,401808260
KXNCAAMBGAME-26FEB24NCSTUVA,401820763
KXNCAAMBGAME-26FEB24NWIND,401825536
KXNCAAMBGAME-26FEB24BUFFAKR,401814580
KXNCAAMBGAME-26FEB24SFPANHC,401858739
KXNCAAMBGAME-26FEB24CCARGAST,401808688
KXNCAAMBGAME-26FEB24MOHEMU,401814583
KXNCAAMBGAME-26FEB23UTRGVMCNS,401808887
KXNCAAMBGAME-26FEB23IWNWST,401808945
KXNCAAMBGAME-26FEB22SPCSIE,401813431
KXNCAAMBGAME-26FEB22PFWCLEV,401817678
KXNCAAMBGAME-26FEB22TOWSDREX,401812081
KXNCAAMBGAME-26FEB22GBDET,401817676
KXNCAAMBGAME-26FEB22NIAGRID,401813394
KXNCAAMBGAME-26FEB21CSNLBSU,401823269
KXNCAAMBGAME-26FEB21TXAMOKLA,401808256
KXNCAAMBGAME-26FEB21WYOGC,401823803
KXNCAAMBGAME-26FEB21AMCCMCNS,401808886
KXNCAAMBGAME-26FEB21EKYBELL,401807753
KXNCAAMBGAME-26FEB21NHCFDU,401812330
KXNCAAMBGAME-26FEB21PEAYJAC,401807751
KXNCAAMBGAME-26FEB21BUFFMASS,401814576
KXNCAAMBGAME-26FEB21PVARPB,401827149
KXNCAAMBGAME-26FEB21SBONRICH,401828442
KXNCAAMBGAME-26FEB21USTDEN,401818430
KXNCAAMBGAME-26FEB21AAMUCOOK,401827125
KXNCAAMBGAME-26FEB21IWETAM,401808720
KXNCAAMBGAME-26FEB21UCDUCRV,401809136
KXNCAAMBGAME-26FEB21JVSTSHSU,401804941
KXNCAAMBGAME-26FEB21UTUTARL,401805203
KXNCAAMBGAME-26FEB21PRESCUS,401823955
KXNCAAMBGAME-26FEB21MIZZARK,401808249
KXNCAAMBGAME-26FEB21EVANMURR,401830309
KXNCAAMBGAME-26FEB21SEMOUALR,401806499
KXNCAAMBGAME-26FEB21WINHP,401823957
KXNCAAMBGAME-26FEB21LINWTNTC,401806498
KXNCAAMBGAME-26FEB21UTRGVSELA,401808964
KXNCAAMBGAME-26FEB21UNCWCAMP,401812076
KXNCAAMBGAME-26FEB21SUUAC,401805202
KXNCAAMBGAME-26FEB21HAMPSTON,401812078
KXNCAAMBGAME-26FEB21SJSUBSU,401823831
KXNCAAMBGAME-26FEB21VALPUIC,401830311
KXNCAAMBGAME-26FEB21UWGAQUC,401807756
KXNCAAMBGAME-26FEB21MOSUFIU,401804943
KXNCAAMBGAME-26FEB21UNLVAFA,401820572
KXNCAAMBGAME-26FEB21LMCSTNH,401812348
KXNCAAMBGAME-26FEB21CCSUCHS,401812657
KXNCAAMBGAME-26FEB21DELMTU,401804944
KXNCAAMBGAME-26FEB21LIUMHU,401812377
